,Date,Time,Bus,Count,On off,Latitude,Longitude,Route,Stop,CorrectStop
1454,11/13/2019,11:07:06,2406,2,off,35.311595917,-80.730461121,Green,Student Health (Green) W,Student Health E
1455,11/13/2019,11:07:17,2403,1,off,35.311660767,-80.730438232,Gold,Student Health E,Student Health (Green) W
1458,11/13/2019,11:07:30,2402,15,off,35.308148,-80.730153,Silver,EPIC N,Aux Services East
1464,11/13/2019,11:08:02,2402,23,on,35.307151794,-80.732696533,Silver,EPIC N,Student Union E
1473,11/13/2019,11:08:45,2407,3,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1474,11/13/2019,11:08:52,2407,7,on,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1477,11/13/2019,11:09:28,2403,3,off,35.304748535,-80.729881287,Gold,Fretwell S,Robinson Hall S
1482,11/13/2019,11:09:56,2409,1,off,35.309921265,-80.741851807,Silver,EPIC N,EPIC S
1485,11/13/2019,11:10:08,2403,20,on,35.29889679,-80.730613708,Gold,Fretwell S,Levine Hall E
1486,11/13/2019,11:10:12,2409,4,on,35.309921265,-80.741851807,Silver,EPIC N,EPIC S
1488,11/13/2019,11:10:20,2407,8,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1490,11/13/2019,11:10:36,2407,6,on,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1498,11/13/2019,11:11:48,2402,1,on,35.300678253,-80.742538452,Silver,EPIC N,Alumni Way E
1500,11/13/2019,11:12:19,2401,3,off,35.305389404,-80.728790283,Green,Fretwell S,Cato Hall S
1503,11/13/2019,11:12:28,2403,1,off,35.303852081,-80.729606628,Gold,Fretwell S,Robinson Hall S
1504,11/13/2019,11:12:34,2403,7,on,35.305072784,-80.729438782,Gold,Fretwell S,Cato Hall S
1506,11/13/2019,11:13:08,2402,25,off,35.305259705,-80.742378235,Silver,EPIC N,Athletics Complex E
1513,11/13/2019,11:14:16,2402,2,off,35.304962158,-80.742050171,Silver,EPIC N,Athletics Complex E
1515,11/13/2019,11:14:52,2407,3,on,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1518,11/13/2019,11:15:17,2403,28,off,35.300880432,-80.73576355,Gold,Fretwell S,Hunt Hall
1520,11/13/2019,11:15:36,2402,12,off,35.310733795,-80.743110657,Silver,EPIC N,Portal W
1521,11/13/2019,11:15:36,2407,12,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1522,11/13/2019,11:15:39,2403,5,on,35.300678253,-80.735771179,Gold,Fretwell S,Hunt Hall
1524,11/13/2019,11:15:45,2410,1,off,35.309776306,-80.741729736,Silver,EPIC N,EPIC S
1530,11/13/2019,11:16:01,2410,4,on,35.309791565,-80.741760254,Silver,EPIC N,EPIC S
1533,11/13/2019,11:16:38,2407,1,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1535,11/13/2019,11:17:07,2402,3,off,35.309211731,-80.744087219,Silver,EPIC N,CRI Deck
1536,11/13/2019,11:17:09,2402,5,on,35.309375763,-80.744056702,Silver,EPIC N,CRI Deck
1541,11/13/2019,11:17:42,2407,5,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1548,11/13/2019,11:18:27,2403,2,off,35.304801941,-80.732711792,Gold,Fretwell S,Reese East
1551,11/13/2019,11:18:58,2407,1,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1553,11/13/2019,11:19:15,2406,2,off,35.307224274,-80.729614258,Green,Fretwell S,Fretwell N
1554,11/13/2019,11:19:17,2406,3,on,35.307243347,-80.729637146,Green,Fretwell S,Fretwell N
1556,11/13/2019,11:19:21,2402,1,on,35.312858582,-80.743743896,Silver,EPIC N,Portal W
1563,11/13/2019,11:20:03,2403,3,on,35.3033638,-80.729423523,Gold,Fretwell S,Robinson Hall N
1566,11/13/2019,11:20:33,2402,2,on,35.309631348,-80.742630005,Silver,EPIC N,EPIC S
1570,11/13/2019,11:21:07,2402,4,off,35.310970306,-80.74181366,Silver,EPIC N,Grigg Hall W
1574,11/13/2019,11:21:14,2411,4,off,35.307815552,-80.729904175,Silver,East Deck 2,Fretwell N
1575,11/13/2019,11:21:16,2411,3,on,35.307815552,-80.729904175,Silver,East Deck 2,Fretwell N
1576,11/13/2019,11:21:17,2406,1,on,35.305534363,-80.728302002,Green,Fretwell S,Cato Hall S
1577,11/13/2019,11:21:21,2406,10,off,35.305530548,-80.728302002,Green,Fretwell S,Cato Hall S
1587,11/13/2019,11:22:49,2402,1,off,35.309776306,-80.741844177,Silver,EPIC N,EPIC S
1588,11/13/2019,11:22:51,2402,1,on,35.309864044,-80.741828918,Silver,EPIC N,EPIC S
1591,11/13/2019,11:22:58,2411,17,off,35.308235168,-80.732963562,Silver,East Deck 2,Student Union E
1592,11/13/2019,11:23:04,2407,1,on,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1594,11/13/2019,11:23:18,2411,11,on,35.308246613,-80.733070374,Silver,East Deck 2,Student Union E
1606,11/13/2019,11:25:38,2401,1,on,35.30789566,-80.729942322,Green,Fretwell N,Aux Services East
1607,11/13/2019,11:25:40,2401,1,off,35.307891846,-80.729980469,Green,Fretwell N,Aux Services East
1609,11/13/2019,11:25:58,2411,1,on,35.309234619,-80.741157532,Silver,East Deck 2,EPIC S
1612,11/13/2019,11:26:44,2401,1,off,35.309249878,-80.729759216,Green,Fretwell N,Hickory Hall South
1616,11/13/2019,11:27:33,2402,7,on,35.307601929,-80.730384827,Silver,EPIC N,Aux Services East
1617,11/13/2019,11:27:35,2407,4,on,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1618,11/13/2019,11:27:37,2402,6,off,35.307613373,-80.730384827,Silver,EPIC N,Aux Services East
1628,11/13/2019,11:28:50,2411,12,off,35.311260223,-80.743385315,Silver,East Deck 2,Portal W
1629,11/13/2019,11:28:59,2402,3,off,35.30997467,-80.7293396,Silver,EPIC N,Student Health N
1633,11/13/2019,11:29:52,2411,1,off,35.309455872,-80.744102478,Silver,East Deck 2,CRI Deck
1636,11/13/2019,11:30:05,2402,2,off,35.310401917,-80.726539612,Silver,EPIC N,Martin Hall
1638,11/13/2019,11:30:07,2402,3,on,35.310401917,-80.726539612,Silver,EPIC N,Martin Hall
1642,11/13/2019,11:30:51,2407,3,on,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
1644,11/13/2019,11:31:17,2402,2,off,35.309131622,-80.724998474,Silver,EPIC N,Lot 6
1648,11/13/2019,11:31:43,2407,6,off,35.305900574,-80.727607727,Silver,Woodward Hall East,East Deck 2
